nome,instituicao_ensino_aluno,idade_aluno,anos_pm,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,ano,fase,turma,sinalizador_ingressante,rec_equipe_1,rec_equipe_2,rec_equipe_3,rec_equipe_4,nivel_ideal,defasagem,ano_ingresso,bolsista,cg,cf,ct,nota_port,nota_mat,nota_ing,qtd_aval,rec_ava_1,rec_ava_2,rec_ava_3,rec_ava_4,indicado_bolsa,grupo_fase,saiu,indicador_outlier,outlier_tipo,atencao,destaque
ALUNO-905,,,,True,7.658744356725147,,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,6.65204678362573,7.5,9.1,6.25,8.416665,5.0,2022,0,F,,,,,,Fase 2 (5º e 6º ano),,2021.0,False,252.0,69.0,4.0,9.1,9.1,,2.0,Promovido de Fase,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,superior,False,False
ALUNO-967,,,,False,6.994374941276115,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,5.394786373047244,7.5,9.233333333333334,4.6875,7.249995,5.0,2022,0,M,,,,,,Fase 2 (5º e 6º ano),,2021.0,False,490.0,139.0,5.0,9.266666666666667,9.2,,2.0,Promovido de Fase,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-1004,,,,False,8.184501595776773,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,9.547511312217194,7.5,8.666666666666668,6.25,8.33333,5.0,2022,0,L,,,,,,Fase 2 (5º e 6º ano),,2020.0,False,88.0,23.0,1.0,8.5,8.833333333333334,,2.0,Promovido de Fase,Promovido de Fase,,,False,Fases 1-7,False,ipp,superior,False,False
ALUNO-1063,,,,False,5.552244923076923,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,4.573717948717949,7.5,4.166666666666667,4.375,6.08333,5.0,2022,0,G,,,,,,Fase 2 (5º e 6º ano),,2021.0,False,783.0,185.0,13.0,5.0,3.333333333333333,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,True,False
ALUNO-1135,,,,False,7.369327063492064,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,8.317460317460318,7.5,9.05,3.125,7.416665,5.0,2022,0,Y,,,,,,Fase 1 (4º ano),,2022.0,False,371.0,112.0,8.0,9.833333333333334,8.266666666666667,,2.0,Promovido de Fase,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-1182,,,,False,7.886571512820513,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,9.097435897435895,5.0,9.616666666666667,3.4375,7.249995,10.0,2022,0,R,,,,,,ALFA  (2º e 3º ano),,2021.0,False,175.0,47.0,4.0,9.7,9.533333333333331,,2.0,Promovido de Fase,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-1243,,,,False,7.496892358974359,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,8.061538461538461,5.625,7.433333333333334,4.6875,7.33333,10.0,2022,0,R,,,,,,ALFA  (2º e 3º ano),,2022.0,False,313.0,90.0,6.0,8.266666666666667,6.6,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-1258,,,,False,7.640720218045113,,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.0,7.274436090225564,7.5,8.45,3.125,7.166665,10.0,2022,0,Y,,,,,,ALFA  (2º e 3º ano),,2022.0,False,258.0,73.0,4.0,8.1,8.799999999999999,,2.0,Promovido de Fase,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-1272,,,,False,7.515200746031747,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,7.896825396825396,7.5,8.283333333333335,3.125,6.583335,10.0,2022,0,Y,,,,,,ALFA  (2º e 3º ano),,2022.0,False,303.0,86.0,5.0,7.866666666666667,8.700000000000001,,2.0,Promovido de Fase,Mantido na Fase atual,,,False,Fases 1-7,False,ipp,inferior,False,False
ALUNO-1321,,,,False,6.657746209461563,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.16666,9.18456271397448,7.5,7.083333333333334,4.375,6.000005,5.0,2022,0,E,,,,,,Fase 1 (4º ano),,2022.0,False,603.0,165.0,4.0,7.5,6.666666666666667,,2.0,Promovido de Fase,Promovido de Fase,,,False,Fases 1-7,False,ipp,inferior,False,False
